mol,apol,ast_violation,ast_violation_ext,a_acc,a_aro,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nC,a_nCl,a_nF,a_nH,a_nN,a_nO,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,density,diameter,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_violation,logP(o/w),logS,mr,nmol,opr_brigid,opr_nring,opr_nrot,opr_violation,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_VSA_FHYD,Q_VSA_FPOS,Q_VSA_HYD,Q_VSA_POS,radius,rings,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb,Label
Clc1c(-c2c(C)ccc3n[nH]cc23)cc2N(c3c(C(C)C)cccc3)C(=O)N=C(N3CCN(C(=O)C=C)CC3)c2c1,87.37458,3,4,5,21,72,2,7,41,30,113.14474,1.5714548,32,1,0,31,6,2,1.2849542,-2.7228236,-0.61702824,0.61036789,2.6433687,-2.85852,-0.47830084,0.74307555,2.6574421,-2.4337924,-0.40578321,0.8143217,2.9247472,44.145416,6,0.13043478,22,77,4,46,2,6,0.13043478,51,28.83577,24.072845,19.386387,21.982399,19.778095,14.112951,9.5717087,12.521641,0,0.80309194,15,-0.86140996,-0.41741681,0.067349948,2.9591177,-0.97093683,-0.30551824,0.16522223,3.0623348,-0.51823032,-0.19048952,0.22973599,3.264396,8.2985811,13.328632,9.874856,7.6739373,7.5116587,-9.3360891,15.999344,16.218208,0.01018293,11.784129,8.9869747,1.7032222,1.0202662,31.00189,13.157439,6.0141606,22.61652,9.5176773,4.3241506,5.2501645,8,1,2,6.8239999,-9.4644203,16.027235,1,33,6,7,3,1.9972,-1.9972,0.17788711,0.16489007,203.3019,35.935883,119.38764,0,0,12.949531,17.440542,54.051102,29.581947,18.842079,5.6825762,13.566921,13.566921,0,0.89028585,0.25803879,0.051751815,0.10971418,0.74196124,0.057962362,466.78311,135.29155,27.133842,57.523914,389.0155,30.390074,0.46666667,0.875,1,1,524.30707,524.30707,8,6,0.41463414,6.66362,3.1243138,35.328297,40.525223,73.758316,9.5567245,16.78553,7.9114027,187.09126,0,200.6032,16.42297,47.724434,39.697166,19.787321,17.468128,16.601746,176.00302,86.174973,171.22748,84.900002,0.30615681,6.523562,3.6798553,10.470007,524.30707,667.22748,32.816418,431.0679,41.580635,51.658497,567.09302,5235,78,228,1
Clc1c(-c2c(F)cccc2O)nc2N(c3c(C(C)C)nccc3C)C(=O)N=C(N3[C@@H](C)CN(C(=O)C=C)CC3)c2c1,84.546791,3,4,6,18,71,1,7,41,28,121.95395,1.7176613,30,1,1,30,6,3,1.4700933,-2.7573316,-0.57508999,0.59961659,2.6844127,-2.882062,-0.48183215,0.7242251,2.6460347,-2.4731822,-0.40020061,0.80973339,2.9606194,46.23521,6,0.13333334,18,75,4,45,2,6,0.13333334,53,29.584694,23.983429,18.52458,20.731321,19.526983,13.658206,8.569273,10.874246,1,0.83848476,15,-0.85989797,-0.41606373,0.065498941,2.9563313,-0.97107744,-0.30239627,0.15890196,3.0143309,-0.51853013,-0.19720572,0.21807078,3.24049,11.317044,12.471998,10.426979,6.2612147,6.2852345,-8.6359453,14.774756,15.704934,-0.059534974,7.7860413,8.0534239,2.0924106,0.14552142,32.395061,13.55313,6.4000001,24.285561,10.082415,4.7349,5.9721241,9,1,2,5.0910001,-6.4182901,15.5069,1,29,5,7,4,2.5229595,-2.5229595,0.14127067,0.1312736,228.29326,65.143478,96.267998,11.190562,0,12.949531,17.440542,2.2085397,29.581947,0,19.249496,36.84071,13.566921,0,0.8483336,0.19042863,0.094620816,0.15166642,0.80957139,0.057045601,451.93527,101.44762,50.407631,80.797707,431.28537,30.390074,0.46666667,0.875,1,1,532.73297,532.73297,8,5,0.41463414,5.8105202,28.509541,52.236347,36.965202,55.318733,9.1278973,16.78553,7.9114027,129.01579,0,253.70392,15.63858,47.724434,96.950554,12.245332,26.264696,11.02699,123.07346,67.735397,204.5535,102.23,0.30124658,6.4918532,3.63521,10.476401,532.73297,652.15259,44.181568,422.21329,52.771198,57.748489,577.06,5138,80,224,1
Clc1c(-c2c(F)cccc2O)nc2N(c3c(C(C)C)ncnc3C(C)C)C(=O)N=C(N3[C@@H](C)CN(C(=O)C=C)CC3)c2c1,89.407166,3,5,7,18,76,1,8,43,28,130.39102,1.7156714,31,1,1,33,7,3,1.5010858,-2.7573318,-0.55929357,0.58538276,2.6844909,-2.8820641,-0.48583975,0.69399971,2.6720605,-2.4731913,-0.38471049,0.75692731,2.9607017,50.834831,7,0.14893617,18,80,4,47,2,7,0.14893617,58,31.162043,25.430643,19.52458,21.601564,20.437668,14.461379,8.8906403,10.876681,1,0.83860695,15,-0.85988039,-0.41902465,0.05686349,3.0029645,-0.97107756,-0.30307391,0.14484751,3.0612218,-0.52236849,-0.20156012,0.2066371,3.2814982,13.170222,12.870684,10.825318,6.1971827,6.1858945,-8.857213,14.77397,16.491144,-0.14708737,7.7456965,9.2748919,1.6192801,0.10379901,34.337708,14.408571,6.8564434,26.030519,10.846241,5.1354604,6.5658903,10,1,2,4.7529998,-7.1357498,16.2535,1,29,5,8,4,2.7257063,-2.7257063,0.13077861,0.12150905,244.10176,51.543526,96.267998,35.981079,0,12.949531,17.440542,0,29.581947,0,19.249496,42.523285,13.566921,0,0.84645003,0.18629353,0.099590912,0.15354997,0.81370646,0.053959064,476.7258,104.92165,56.090206,86.480278,458.28442,30.390074,0.46666667,0.875,1,1,563.20605,563.20605,8,5,0.55813956,6.0205002,28.509541,69.021873,36.965202,55.318733,8.69907,16.78553,12.322199,110.94377,0,287.02994,16.353279,47.724434,113.73608,12.245332,30.246666,11.02699,105.00145,67.735397,237.87952,115.12,0.28994733,6.5545888,3.6428936,10.620452,563.20605,683.08276,49.864147,422.21329,77.561714,63.431068,606.10199,5762,84,234,1
Clc1c(-c2c(F)cccc2O)nc2N(c3c(CC)cccc3C)C(=O)N=C(N3[C@@H](C)CN(C(=O)C=C)CC3)c2c1,82.779999,3,4,5,18,69,1,6,40,28,117.03549,1.6961665,30,1,1,29,5,3,1.4558634,-2.7573388,-0.5830338,0.59794533,2.6843638,-2.8820617,-0.4712193,0.72304147,2.5823326,-2.4731774,-0.40649971,0.80062932,2.9605856,43.822002,6,0.13636364,18,73,4,44,2,6,0.13636364,51,28.714449,23.243322,18.231686,20.568186,19.154305,13.415693,8.8085661,11.409816,1,0.83284587,15,-0.85991853,-0.42414576,0.064036541,2.939054,-0.9710778,-0.3107827,0.15290406,2.9992213,-0.51484179,-0.19538002,0.22370738,3.2275572,9.2598,11.880391,9.8356981,7.0515809,7.0396428,-8.8383141,14.77632,15.373213,-0.16112199,7.6933022,9.1175604,1.6894025,0.1175852,31.425619,13.32923,6.1773615,23.456892,9.8697395,4.5485268,5.7878356,8,1,2,5.9920001,-7.63519,15.237053,1,29,5,7,3,2.293153,-2.293153,0.1554089,0.14442907,196.67627,38.144424,96.267998,11.190562,0,12.949531,17.440542,51.842564,29.581947,0,19.249496,31.158133,13.566921,0,0.85500926,0.2806561,0.086330406,0.14499076,0.7193439,0.058660351,442.95325,145.39906,44.725052,75.115128,372.66934,30.390074,0.46666667,0.875,1,1,518.06836,518.06836,8,5,0.42500001,5.8544898,28.509541,35.450817,36.965202,55.318733,9.5567245,35.653934,3.5006065,147.0878,0,220.37791,15.38798,47.724434,80.165024,12.245332,22.282728,11.02699,160.01389,67.735397,171.22748,89.339996,0.30726835,6.4594316,3.6284966,10.402277,518.06836,639.74982,38.498993,413.23126,52.771198,52.065914,562.04498,4837,78,218,1
Clc1c(-c2c(F)cccc2O)nc2N(c3c(C(C)C)ncnc3C(C)C)C(=O)N=C(N3[C@@H](C)CN(C(=O)C=C)CC3)c2c1,89.407166,3,5,7,18,76,1,8,43,28,130.39102,1.7156714,31,1,1,33,7,3,1.5010858,-2.7573318,-0.55929357,0.58538276,2.6844909,-2.8820641,-0.48583975,0.69399971,2.6720605,-2.4731913,-0.38471049,0.75692731,2.9607017,50.834831,7,0.14893617,18,80,4,47,2,7,0.14893617,58,31.162043,25.430643,19.52458,21.601564,20.437668,14.461379,8.8906403,10.876681,1,0.83860695,15,-0.85988039,-0.41902465,0.05686349,3.0029645,-0.97107756,-0.30307391,0.14484751,3.0612218,-0.52236849,-0.20156012,0.2066371,3.2814982,13.170222,12.870684,10.825318,6.1971827,6.1858945,-8.857213,14.77397,16.491144,-0.14708737,7.7456965,9.2748919,1.6192801,0.10379901,34.337708,14.408571,6.8564434,26.030519,10.846241,5.1354604,6.5658903,10,1,2,4.7529998,-7.1357498,16.2535,1,29,5,8,4,2.7257063,-2.7257063,0.13077861,0.12150905,244.10176,51.543526,96.267998,35.981079,0,12.949531,17.440542,0,29.581947,0,19.249496,42.523285,13.566921,0,0.84645003,0.18629353,0.099590912,0.15354997,0.81370646,0.053959064,476.7258,104.92165,56.090206,86.480278,458.28442,30.390074,0.46666667,0.875,1,1,563.20605,563.20605,8,5,0.55813956,6.0205002,28.509541,69.021873,36.965202,55.318733,8.69907,16.78553,12.322199,110.94377,0,287.02994,16.353279,47.724434,113.73608,12.245332,30.246666,11.02699,105.00145,67.735397,237.87952,115.12,0.28994733,6.5545888,3.6428936,10.620452,563.20605,683.08276,49.864147,422.21329,77.561714,63.431068,606.10199,5762,84,234,1
Clc1c(-c2c(F)cccc2O)nc2N(c3c(C(C)C)cccc3C)C(=O)N=C(N3[C@@H](C)CN(C(=O)C=C)CC3)c2c1,85.873581,3,4,5,18,72,1,6,41,29,120.7099,1.6765264,31,1,1,31,5,3,1.4700933,-2.7573521,-0.58205491,0.59767699,2.6843934,-2.8820617,-0.46807948,0.72104484,2.6615047,-2.4731841,-0.4064903,0.79555142,2.9606631,46.008415,6,0.13333334,18,76,4,45,2,6,0.13333334,54,29.584694,24.113565,19.101931,21.438429,19.526983,13.798409,9.1912823,11.782495,1,0.8276512,15,-0.85991818,-0.42052945,0.064033978,2.972065,-0.97107726,-0.30095008,0.15289694,3.0433581,-0.51849186,-0.19467343,0.22121879,3.2595675,9.2595272,11.937635,9.8929386,7.5640011,7.5520682,-9.1774387,14.776322,15.827599,-0.16115206,7.6932425,9.1182041,1.6893024,0.11758757,32.395061,13.55313,6.4000001,24.365196,10.116405,4.7511764,6.0119076,8,1,2,6.362,-8.1504097,15.679325,1,29,5,7,3,2.2934806,-2.2934806,0.1553867,0.14440845,212.48477,38.144424,96.267998,11.190562,0,12.949531,17.440542,51.842564,29.581947,0,19.249496,31.158133,13.566921,0,0.85930252,0.27234566,0.083774097,0.14069746,0.72765434,0.056923375,458.76175,145.39906,44.725052,75.115128,388.47781,30.390074,0.46666667,0.875,1,1,533.87689,533.87689,8,5,0.41463414,6.4155202,28.509541,35.450817,36.965202,55.318733,9.5567245,16.78553,7.9114027,147.0878,0,253.70392,15.85908,47.724434,80.165024,12.245332,26.693523,11.02699,141.14548,67.735397,204.5535,89.339996,0.30124658,6.4918532,3.63521,10.476401,533.87689,658.27728,38.498993,429.03976,52.771198,52.065914,576.07196,5138,80,224,1
Clc1c(-c2c(F)cccc2O)nc2N(c3c(C(C)C)cccc3C)C(=O)N=C(N3[C@@H](C)CN(C(=O)C=C)CC3)c2c1,85.873581,3,4,5,18,72,1,6,41,29,120.7099,1.6765264,31,1,1,31,5,3,1.4700933,-2.7573521,-0.58205491,0.59767699,2.6843934,-2.8820617,-0.46807948,0.72104484,2.6615047,-2.4731841,-0.4064903,0.79555142,2.9606631,46.008415,6,0.13333334,18,76,4,45,2,6,0.13333334,54,29.584694,24.113565,19.101931,21.438429,19.526983,13.798409,9.1912823,11.782495,1,0.8276512,15,-0.85991818,-0.42052945,0.064033978,2.972065,-0.97107726,-0.30095008,0.15289694,3.0433581,-0.51849186,-0.19467343,0.22121879,3.2595675,9.2595272,11.937635,9.8929386,7.5640011,7.5520682,-9.1774387,14.776322,15.827599,-0.16115206,7.6932425,9.1182041,1.6893024,0.11758757,32.395061,13.55313,6.4000001,24.365196,10.116405,4.7511764,6.0119076,8,1,2,6.362,-8.1504097,15.679325,1,29,5,7,3,2.2934806,-2.2934806,0.1553867,0.14440845,212.48477,38.144424,96.267998,11.190562,0,12.949531,17.440542,51.842564,29.581947,0,19.249496,31.158133,13.566921,0,0.85930252,0.27234566,0.083774097,0.14069746,0.72765434,0.056923375,458.76175,145.39906,44.725052,75.115128,388.47781,30.390074,0.46666667,0.875,1,1,533.87689,533.87689,8,5,0.41463414,6.4155202,28.509541,35.450817,36.965202,55.318733,9.5567245,16.78553,7.9114027,147.0878,0,253.70392,15.85908,47.724434,80.165024,12.245332,26.693523,11.02699,141.14548,67.735397,204.5535,89.339996,0.30124658,6.4918532,3.63521,10.476401,533.87689,658.27728,38.498993,429.03976,52.771198,52.065914,576.07196,5138,80,224,1
Clc1c(-c2c(F)cccc2O)cc2N(c3c(C(C)C)cccc3)C(=O)N=C(N3[C@@H](C)CN(C(=O)C=C)CC3)c2c1,84.106789,3,4,4,18,70,1,5,40,30,115.50812,1.650116,31,1,1,30,4,3,1.4465499,-2.7577696,-0.59284192,0.60577071,2.6840928,-2.8820393,-0.49048156,0.75303489,2.6576629,-2.4732234,-0.41252908,0.79692715,2.9610596,43.595211,6,0.13636364,18,74,4,44,2,6,0.13636364,52,28.714449,23.321053,18.75663,21.275291,19.116301,13.511879,9.351965,12.188307,1,0.82185775,15,-0.86014557,-0.41903773,0.061846834,2.9613709,-0.97107166,-0.30204886,0.15236266,3.0466499,-0.5183081,-0.1889106,0.21769895,3.2548659,7.5451822,11.974712,9.9821491,7.7572274,7.7504382,-9.0587587,14.763718,15.493975,-0.06562195,8.0673103,8.8692255,1.4319838,0.058329474,31.425619,13.32923,6.3123817,23.535885,9.9039354,4.6643653,5.8274474,7,1,2,6.9689999,-8.9680204,15.394578,1,29,5,7,3,2.0745726,-2.0745726,0.1712527,0.15966612,232.71034,38.144424,96.267998,0,0,12.949531,17.440542,33.825527,29.581947,0,19.249496,25.475557,13.566921,0,0.86627328,0.23439246,0.075195596,0.13372672,0.76560754,0.058531113,449.77972,121.69945,39.042477,69.432549,397.51285,30.390074,0.46666667,0.875,1,1,519.21228,519.21228,8,5,0.375,6.7121,28.509541,18.665287,36.965202,55.318733,6.37115,16.78553,7.9114027,182.80299,0,220.80673,15.60588,47.724434,63.379498,12.245332,23.50795,11.884645,176.43184,67.735397,171.22748,76.449997,0.30726835,6.4594316,3.6383033,10.401418,519.21228,645.87451,32.816418,431.24832,41.580635,46.383339,561.05701,4868,77,218,1
Clc1c(-c2c(F)cccc2O)nc2N(c3c(C4CC4)ncnc3C3CC3)C(=O)N=C(N3[C@@H](C)CN(C(=O)C=C)CC3)c2c1,86.739998,3,5,7,18,72,1,8,43,28,125.36669,1.741204,31,1,1,29,7,3,1.2131186,-2.7572978,-0.58609033,0.62163985,2.7691846,-2.8820598,-0.47942767,0.76039022,2.9128246,-2.4731691,-0.40717617,0.83384365,3.0236897,46.462002,7,0.14285715,18,78,4,49,1,7,0.14285715,56,29.990471,24.259069,18.353006,20.429993,20.761259,14.784971,9.2142324,11.200274,1,0.85870647,15,-0.8598789,-0.42507485,0.075330734,2.9768209,-0.97107702,-0.32602698,0.18355149,3.0315852,-0.51467639,-0.21450469,0.2283271,3.2576239,13.153543,12.760703,10.715318,5.1603603,5.1490364,-8.5156059,14.773983,16.151487,-0.14729719,7.7455745,9.2897377,1.6170605,0.10369394,31.591837,12.892987,5.6560898,23.948944,9.7053652,4.2363982,5.4054246,10,1,2,3.7650001,-6.9316702,15.867384,1,35,7,8,4,2.7257063,-2.7257063,0.13077861,0.12150905,189.70193,51.543526,96.267998,35.981079,0,12.949531,17.440542,0,29.581947,0,19.249496,42.523285,13.566921,0,0.830033,0.2062114,0.11023883,0.16996701,0.79378861,0.059728183,422.32599,104.92165,56.090206,86.480278,403.88461,30.390074,0.46666667,0.875,1,1,508.80627,508.80627,8,7,0.55813956,5.5285001,28.509541,69.021873,36.965202,55.318733,8.69907,16.78553,12.322199,110.94377,75.473625,153.72588,15.93048,47.724434,113.73608,12.245332,30.246666,11.02699,180.47507,67.735397,104.57545,115.12,0.29901332,6.6147099,3.6440535,10.619648,508.80627,667.09406,49.864147,367.81348,77.561714,63.431068,602.07001,5760,84,246,1
Clc1c(-c2c(F)cccc2O)nc2N(c3c(CC)cccc3CC)C(=O)N=C(N3[C@@H](C)CN(C(=O)C=C)CC3)c2c1,85.873581,3,4,5,18,72,1,6,41,29,120.7099,1.6765264,31,1,1,31,5,3,1.4693251,-2.7573466,-0.58283478,0.59788376,2.6843805,-2.8820634,-0.47099566,0.72256362,2.5849395,-2.4731812,-0.40649724,0.80007923,2.9606285,46.008415,7,0.15555556,18,76,4,45,2,7,0.15555556,54,29.421556,23.95043,18.938793,21.275291,19.69231,13.976354,9.3692265,11.94782,1,0.8276512,15,-0.85991818,-0.42362174,0.064036302,2.966516,-0.97107822,-0.30926135,0.15289912,3.0295684,-0.51641858,-0.19521035,0.22362544,3.2542317,9.2594776,11.943451,9.8987532,7.5624442,7.5505095,-9.1760292,14.776322,15.827599,-0.16115655,7.6932344,9.1183195,1.6892816,0.11758732,32.395061,13.966942,6.4000001,24.365196,10.425285,4.7511764,6.195467,8,1,2,6.467,-8.1504097,15.716235,1,29,5,8,3,2.2935023,-2.2935023,0.15538523,0.14440708,212.48477,38.144424,96.267998,11.190562,0,12.949531,17.440542,51.842564,29.581947,0,19.249496,31.158133,13.566921,0,0.85930252,0.27234566,0.083774097,0.14069746,0.72765434,0.056923375,458.76175,145.39906,44.725052,75.115128,388.47781,30.390074,0.46666667,0.875,1,1,533.87689,533.87689,8,5,0.41463414,6.1084399,28.509541,35.450817,36.965202,55.318733,9.5567245,54.522339,3.5006065,147.0878,0,220.37791,15.85208,47.724434,80.165024,12.245332,22.282728,11.02699,178.88228,67.735397,171.22748,89.339996,0.30124658,6.4918532,3.6348739,10.477114,533.87689,658.27728,38.498993,429.03976,52.771198,52.065914,576.07196,5142,80,222,1
