apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_aro,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nC,a_nH,a_nN,a_nO,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,density,diameter,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb
24.006758,1,1,0,0,2,6,19,0,2,13,8,27.226679,1.4329832,10,6,0,3,0,2.0359972,-2.2450171,-0.5753814,0.62179005,2.3037164,-2.2257271,-0.47708657,0.74430794,2.3829181,-1.9337111,-0.41820818,0.78827208,2.6063018,10.391242,1,0.071428575,6,20,3,14,1,1,0.071428575,11,9.2591486,6.6888466,5.4641018,6.5520415,6.3256984,3.7843533,2.9047005,4.1329932,0.79230541,7,-0.75421852,-0.43641406,0.062179167,2.1614451,-0.81303132,-0.31855908,0.15346079,2.2583494,-0.40347555,-0.20510815,0.16818857,2.4555905,3.7145169,4.1171017,4.1171017,2.3867598,2.3867598,-2.8118367,6.3160992,4.7434001,0,14,14,1,0,9.5510206,4.0221605,1.7751479,6.220736,2.5142257,1.0710891,1.2031026,3,0,1,0,0.73400003,-2.5239301,4.6993995,1,1,11,1,2,1,0,1.972,-1.972,1.096343,-1.096343,0.18297404,0.28764087,0,52.707413,4.2653861,18.504883,8.458519,0,24.509808,24.509808,0,0,27.133842,2.503756,0.76569706,0.48376629,0.18228044,0.23430295,0.51623368,0.05202252,124.4973,78.657211,29.637598,38.096119,83.936203,8.458519,0.42857143,0.75,1.972,-1.972,0.25152129,0.28904665,0.66728514,0.5975771,0.16688155,0.33271486,0.40242293,0.16583331,108.49617,97.162094,27.133842,54.097244,65.43132,26.963404,4,2,0.25152129,0.28904665,0.61538464,1.3444999,10.999887,5.6876111,44.007435,0,27.047791,3.185575,0,90.273773,5.2434282,4.55475,47.724434,10.999887,0,11.614578,0,90.273773,5.6876111,20.14522,43.369999,0.64772749,4.8073549,2.4628189,7.111197,162.59341,219.80791,27.133842,0,98.168053,33.020748,27.133842,174.155,228,20,66
27.100344,1,1,0,0,2,6,22,0,2,14,9,31.298861,1.4226755,11,8,0,3,0,2.0491359,-2.3069644,-0.53881985,0.5750711,2.328233,-2.2425413,-0.45287645,0.6851756,2.4330504,-2.0101941,-0.36990166,0.74528825,2.6315827,12.577656,1,0.06666667,6,23,3,15,2,1,0.06666667,14,10.129392,7.6114964,6.3867512,7.4222851,6.7195454,4.1950369,3.3153841,4.5268402,0.77048904,7,-0.75888765,-0.42357522,0.020645158,2.2462928,-0.81304163,-0.30292073,0.13936891,2.3498256,-0.47908065,-0.19566415,0.15637553,2.5375586,3.7146544,4.2220082,4.2220082,2.8861077,2.8861077,-3.1567914,6.3160973,5.1977859,0,14,14,1,0,10.515555,4.2448978,2.0204082,7.0891247,2.7647715,1.281384,1.3999865,3,0,1,0,1.069,-2.9978499,5.1552186,1,1,11,1,2,1,0,1.966,-1.966,1.1186298,-1.1186298,0.17933609,0.28190991,12.796158,48.442028,4.2653861,18.504883,8.458519,0,45.466026,12.254904,0,0,27.133842,2.503756,0.78814954,0.48579609,0.1648131,0.21185048,0.51420391,0.047037374,141.72939,87.358528,29.637598,38.096119,92.466972,8.458519,0.42857143,0.75,1.966,-1.966,0.25228891,0.28992879,0.69916809,0.48444593,0.15088984,0.30083188,0.51555407,0.14994204,125.72826,87.11573,27.133842,54.097244,92.70977,26.963404,4,2,0.25228891,0.28992879,0.071428575,1.65292,10.999887,5.6876111,44.007435,0,30.233366,3.185575,0,72.630592,38.569443,5.02845,47.724434,10.999887,0,14.800153,0,72.630592,5.6876111,53.471233,43.369999,0.61744827,4.9068904,2.5541854,7.3281779,179.8255,244.23709,27.133842,0,113.97655,33.020748,27.133842,188.18199,281,22,72
33.165138,1,0,0,1,3,6,26,2,5,17,8,48.873474,1.8797489,11,9,3,2,1,1.8079045,-2.2652488,-0.55210841,0.60339326,2.2995186,-2.5672221,-0.45563382,0.79036194,2.3843062,-1.9404551,-0.3986862,0.92581207,2.6154943,13.852863,2,0.11111111,6,27,4,18,2,3,0.16666667,17,12.250712,9.5299072,5.9641018,7.1293921,8.1815405,5.1815042,2.9047005,4.1329932,0.83199739,10,-0.82206142,-0.40872696,0.12646952,2.2225447,-1.3708094,-0.37224957,0.22027652,2.3076098,-0.42864567,-0.19486412,0.34722546,2.5330698,6.7016215,9.0149136,3.168884,1.7585799,1.7586758,-3.1491017,7.7821946,6.6917286,0.000223773,14,10.650096,1.0021068,0.00013342,13.432098,6.25,3.4844444,9.5380573,4.333746,2.3704474,2.4315012,5,3,1,0,2.5409999,-3.7039001,6.6139717,0,1,12,1,2,2,0,3.4619999,-3.4619999,1.4888136,-1.4888136,0.13367748,0.21185021,13.166624,73.718712,48.622536,17.077532,0,0,24.509808,24.509808,3.8753545,9.4210396,13.566921,9.1548758,0.86473191,0.35786825,0.13526808,0.13526808,0.64213175,0,205.48038,85.037804,32.142838,32.142838,152.5854,0,0.5,1,3.4619999,-3.4619999,0.14442518,0.23108029,0.4565891,0.56781995,0.27311704,0.5434109,0.43218005,0.27029386,108.49617,134.9272,64.898949,129.12704,102.69601,64.228096,5,2,0.14442518,0.23108029,0.70588237,0.96460003,61.785305,5.9721327,17.214357,0,27.047791,19.848583,0,90.273773,50.435455,6.7897601,23.862217,27.662895,17.888229,11.614578,32.897186,90.273773,5.9721327,62.406387,108.8,0.54234898,5.1699252,3.0912507,7.8465562,237.62321,297.21005,54.372471,27.163528,98.168053,44.428406,81.536003,247.278,554,24,84
36.258724,1,0,0,1,3,6,29,2,5,18,9,53.053265,1.8294228,12,11,3,2,1,1.8422093,-2.312989,-0.49291307,0.56755775,2.3248992,-2.5672276,-0.40423182,0.76978463,2.433713,-2.0114386,-0.24815664,0.91096395,2.6376829,16.039276,2,0.10526316,6,30,4,19,2,3,0.15789473,20,13.120955,10.452557,6.8867512,7.9996357,8.575387,5.5921879,3.3153841,4.5268402,0.81241637,10,-0.82206351,-0.40074551,0.112284,2.2982373,-1.3708099,-0.35648426,0.21561199,2.3918896,-0.47908622,-0.1558201,0.33912903,2.6032405,6.701705,9.1214523,3.2754316,2.2575052,2.2576013,-3.4936528,7.7821927,7.1461139,0.000223883,14,10.649881,1.0021076,0.000133486,14.409972,6.43787,3.75,10.448375,4.5714951,2.621851,2.653594,5,3,1,0,2.8759999,-4.1778202,7.0714698,0,1,12,1,2,2,0,3.4560001,-3.4560001,1.5111004,-1.5111004,0.13171145,0.20872554,25.962782,69.453331,48.622536,17.077532,0,0,45.466026,12.254904,3.8753545,9.4210396,13.566921,9.1548758,0.87387812,0.36781311,0.12612191,0.12612191,0.63218689,0,222.71246,93.73912,32.142838,32.142838,161.11618,0,0.5,1,3.4560001,-3.4560001,0.14467593,0.23148148,0.49333194,0.49000683,0.25465018,0.50666809,0.5099932,0.25201792,125.72826,124.88084,64.898949,129.12704,129.97446,64.228096,5,2,0.14467593,0.23148148,0.27777779,1.27302,61.785305,5.9721327,17.214357,0,30.233366,19.848583,0,72.630592,83.761475,7.2634602,23.862217,27.662895,17.888229,14.800153,32.897186,72.630592,5.9721327,95.732399,108.8,0.52150291,5.2479277,3.1352224,8.0172539,254.8553,321.63925,54.372471,27.163528,113.97655,44.428406,81.536003,261.30499,644,26,90
49.912308,0,0,2,3,3,17,38,1,4,25,17,63.850018,1.6802636,19,13,3,2,1,1.1721632,-2.2577691,-0.62304682,0.69345742,2.2998919,-2.2452967,-0.51682723,0.80516964,2.3891251,-1.9380164,-0.47247109,0.91726023,2.6166694,21.345692,4,0.14285715,17,41,3,28,1,4,0.14285715,21,17.062267,13.863872,10.428204,12.526733,12.309663,8.4965086,5.3540592,7.6910715,0.78268445,15,-0.78910142,-0.41148716,0.086812273,2.3333073,-0.91396087,-0.2975384,0.19507119,2.4669886,-0.40428743,-0.21125342,0.27379096,2.6579406,6.3895369,7.4597101,4.7908602,4.362896,4.6292901,-6.0610127,12.420485,9.9306164,0.13695459,13.736016,7.7994571,2.6759765,1.8598998,18.367348,8.792244,4.4659748,12.99443,6.1229329,3.0734026,3.1825609,5,1,1,0,5.605,-6.0064001,9.8938732,0,1,23,1,4,4,0,3.8410001,-3.8410001,1.7980764,-1.7980764,0.11068543,0.17541273,0,119.17721,0,36.83815,0,0,26.718348,100.01529,3.8753545,15.103616,13.566921,2.503756,0.90190554,0.50907481,0.098094478,0.098094478,0.49092519,0,286.62436,161.78329,31.174294,31.174294,156.01535,0,0.46666667,0.875,3.8410001,-3.8410001,0.12210362,0.14839886,0.74972844,0.62253332,0.10241041,0.25027156,0.37746668,0.14786115,238.26268,197.84026,32.545891,79.535965,119.9584,46.990074,8,4,0.12210362,0.14839886,0.72000003,4.3670001,10.999887,40.36137,17.214357,0,27.047791,19.848583,0,200.24803,37.021862,9.9148197,23.862217,44.448425,0,11.614578,24.331297,194.30571,5.6876111,48.492046,63.580002,0.43513325,5.8073549,3.6694515,8.9441576,317.79865,443.85449,28.670536,9.4210396,223.66379,44.428406,38.091576,347.39798,1753,37,132
50.71431,0,0,3,4,4,17,39,2,6,26,17,67.804573,1.7385788,19,13,3,3,1,1.1741676,-2.2577744,-0.68217701,0.71618426,2.2999206,-2.2452939,-0.60617739,0.84061289,2.4128306,-1.9380217,-0.5094595,0.9909898,2.6167498,21.345692,4,0.13793103,17,42,3,29,1,4,0.13793103,22,17.93251,14.233735,10.350853,12.396976,12.70351,8.6307983,5.2647429,7.5075679,0.80330616,15,-0.78913528,-0.46012455,0.09988559,2.3440554,-0.91396147,-0.34450078,0.19976254,2.486012,-0.42939007,-0.2157739,0.342733,2.6672997,7.2582083,9.2709885,4.8180766,3.8793788,4.143918,-5.762691,12.605812,10.135597,0.1386155,9.6436396,7.7853565,2.8330386,1.74186,19.322235,9,4.716269,13.869025,6.3672705,3.3022385,3.3964553,6,2,1,0,5.3340001,-5.6444502,10.031176,0,1,23,1,4,4,0,4.223,-4.223,2.0340142,-2.0340142,0.10683975,0.17689806,2.2085397,123.37034,0,36.83815,10.324173,0,49.019615,63.25058,3.8753545,15.103616,13.566921,10.271297,0.84972024,0.47307462,0.11878718,0.15027978,0.52692538,0.031492595,278.56259,155.08739,38.941833,49.266006,172.7412,10.324173,0.46666667,0.875,4.223,-4.223,0.11105849,0.13497514,0.70219904,0.58979875,0.12297107,0.29780099,0.41020125,0.17482992,230.20091,193.35289,40.313431,97.627678,134.47569,57.314243,8,4,0.11105849,0.13497514,0.80769229,4.0725999,36.385113,40.36137,17.214357,0,27.047791,19.848583,0,182.60484,42.265289,10.0813,23.862217,69.833649,0,16.858006,24.331297,176.66252,5.6876111,48.492046,83.809998,0.42228913,5.8579812,3.7092421,9.0586443,327.82858,452.37671,28.670536,9.4210396,216.31381,44.428406,51.658497,363.397,1955,39,138
52.295517,0,0,2,3,3,17,38,1,4,26,18,68.936188,1.8141102,19,12,3,2,1,1.1642878,-2.2577565,-0.62176514,0.69431269,2.2998993,-2.2452946,-0.51680666,0.80853659,2.3984063,-1.9380132,-0.47244534,0.94048536,2.6167567,21.542484,4,0.13793103,17,41,3,29,1,4,0.13793103,21,17.93251,15.750483,10.350853,12.396976,12.70351,9.3891726,5.2647429,7.5075679,0.90155691,16,-0.78903592,-0.41037908,0.082877487,2.3345518,-0.91396034,-0.29753795,0.24854477,2.4766402,-0.40427554,-0.21124609,0.35815838,2.6639767,6.7075825,7.5197368,4.8511348,5.1789918,5.4359274,-6.8777275,12.535082,10.545997,0.12576865,13.76971,7.8420539,2.5419974,1.9075862,19.322235,9,4.716269,15.348994,7.0792027,3.683625,4.1791782,5,1,1,1,6.4029999,-7.0967898,10.637814,0,1,23,1,4,4,1,3.802,-3.802,1.7564952,-1.7564952,0.11330566,0.17956522,2.2522078,114.91182,0,36.83815,0,0,51.228157,106.87543,3.8753545,15.103616,13.566921,2.503756,0.91020077,0.55638838,0.08979924,0.08979924,0.44361162,0,315.98111,193.15323,31.174294,31.174294,154.00218,0,0.5,1,3.802,-3.802,0.12335613,0.14992109,0.77089232,0.66025239,0.093750209,0.22910766,0.33974761,0.13535745,267.61945,229.21019,32.545891,79.535965,117.94521,46.990074,8,4,0.12335613,0.14992109,0.73076922,5.1294999,10.999887,40.36137,17.214357,0,27.047791,22.903687,0,182.60484,82.975952,10.68482,23.862217,44.448425,3.0551045,11.614578,24.331297,176.66252,5.6876111,94.446136,63.580002,0.42228913,5.8579812,3.7399619,9.0548344,347.1554,472.84204,28.670536,9.4210396,253.73235,44.428406,38.091576,426.29401,1974,39,138
52.295517,0,0,2,3,3,17,38,1,4,26,18,68.936188,1.8141102,19,12,3,2,1,1.1741676,-2.2577541,-0.63231856,0.68689042,2.2999027,-2.2452936,-0.48954177,0.88505757,2.4005039,-1.9380126,-0.44590676,1.0287608,2.6167867,21.542484,4,0.13793103,17,41,3,29,1,4,0.13793103,21,17.93251,15.750483,10.350853,12.396976,12.70351,9.3891726,5.2647429,7.5075679,0.90155691,15,-0.78904819,-0.4152852,0.083998717,2.3347051,-0.9139607,-0.29165754,0.26073921,2.4782257,-0.4042792,-0.20126882,0.38731468,2.6650686,6.6994438,7.4740195,4.8033457,5.1982188,5.4511085,-6.887599,12.534722,10.545948,0.12051722,13.740358,7.8631783,2.5184669,1.8755608,19.322235,9,4.716269,15.348994,7.0792027,3.683625,4.1791782,5,1,1,1,6.4400001,-7.0967898,10.637814,0,1,23,1,4,4,1,3.802,-3.802,1.7575852,-1.7575852,0.1132354,0.17945388,4.4607477,114.91182,0,36.83815,0,0,49.019615,106.87543,3.8753545,15.103616,13.566921,2.503756,0.91020077,0.55002654,0.08979924,0.08979924,0.44997343,0,315.98111,190.94469,31.174294,31.174294,156.21072,0,0.46666667,0.875,3.802,-3.802,0.12335613,0.14992109,0.77089232,0.66025239,0.093750209,0.22910766,0.33974761,0.13535745,267.61945,229.21019,32.545891,79.535965,117.94521,46.990074,8,4,0.12335613,0.14992109,0.46153846,5.1294999,10.999887,40.36137,17.214357,0,27.047791,22.903687,0,182.60484,82.975952,10.68482,23.862217,44.448425,3.0551045,11.614578,24.331297,176.66252,5.6876111,94.446136,63.580002,0.42228913,5.8579812,3.7092421,9.0586443,347.1554,472.84204,28.670536,9.4210396,253.73235,44.428406,38.091576,426.29401,1955,39,138
52.938725,0,0,2,3,3,17,38,1,4,27,19,71.901985,1.8921576,19,11,3,2,1,1.1728026,-2.2577391,-0.63946134,0.68663782,2.2999187,-2.2452908,-0.47265905,0.88940907,2.4150789,-1.9380103,-0.43415079,0.98658234,2.6168196,19.999277,4,0.13333334,17,41,3,30,1,4,0.13333334,21,18.802753,15.976958,10.273502,12.26722,13.114194,9.4577522,5.1814094,7.3409014,0.87498409,16,-0.789002,-0.41790256,0.078993529,2.3369081,-0.91396004,-0.28337985,0.28811654,2.4860022,-0.40427491,-0.19465724,0.38899633,2.6661663,6.9265137,7.0876608,4.427547,5.7137017,5.9918156,-7.3982644,12.845026,10.796871,0.16799672,13.79127,7.6948242,2.8613939,1.8969749,20.280001,9.212018,4.7755103,16.522127,7.4423332,3.8341184,4.5541916,5,1,1,1,6.8239999,-7.4749799,10.852943,0,1,23,1,4,4,1,3.895,-3.895,1.7977095,-1.7977095,0.11070802,0.17544852,2.2085397,119.68593,0,36.83815,0,0,49.019615,110.15957,3.8753545,15.103616,13.566921,2.503756,0.9116779,0.55028343,0.088322088,0.088322088,0.44971657,0,321.78717,194.22884,31.174294,31.174294,158.73262,0,0.5,1,3.895,-3.895,0.12041079,0.14634146,0.77466106,0.65869612,0.092208058,0.22533895,0.34130388,0.13313089,273.42548,232.49434,32.545891,79.535965,120.46712,46.990074,8,4,0.12041079,0.14634146,0.44444445,5.6738,10.999887,40.36137,17.214357,0,27.047791,19.848583,7.0012131,164.96165,115.31915,10.91682,23.862217,44.448425,0,18.615791,24.331297,159.01933,5.6876111,126.78933,63.580002,0.41024774,5.9068904,3.7636902,9.1663475,352.96146,475.76636,28.670536,9.4210396,260.25018,44.428406,38.091576,416.28799,2179,42,144
52.938725,0,0,2,3,3,17,38,1,4,27,19,71.901985,1.8921576,19,11,3,2,1,1.1824632,-2.2577298,-0.63336802,0.68545592,2.299938,-2.2452848,-0.46759698,0.90550375,2.4201672,-1.9380082,-0.42181453,0.96072441,2.6169102,19.999277,4,0.13333334,17,41,3,30,1,4,0.13333334,21,18.802753,15.976958,10.273502,12.26722,13.114194,9.4577522,5.1814094,7.3409014,0.87498409,16,-0.78898853,-0.41591835,0.076522745,2.3375247,-0.91395825,-0.28337991,0.29401541,2.4887583,-0.40427503,-0.19467191,0.38496444,2.6675355,6.9276567,7.12532,4.4664431,5.7162848,5.9903827,-7.3950443,12.862588,10.79923,0.16848019,13.821087,7.6933236,2.815959,1.9302897,20.280001,9.212018,4.7755103,16.522127,7.4423332,3.8341184,4.5541916,5,1,1,1,6.8239999,-7.4749799,10.852943,0,1,23,1,4,4,1,3.895,-3.895,1.7914828,-1.7914828,0.11109281,0.17605834,6.7282863,115.16618,0,36.83815,0,0,61.274521,97.904671,3.8753545,15.103616,13.566921,2.503756,0.9116779,0.55028343,0.088322088,0.088322088,0.44971657,0,321.78717,194.22884,31.174294,31.174294,158.73262,0,0.5,1,3.895,-3.895,0.12041079,0.14634146,0.77466106,0.65869612,0.092208058,0.22533895,0.34130388,0.13313089,273.42548,232.49434,32.545891,79.535965,120.46712,46.990074,8,4,0.12041079,0.14634146,0.74074072,5.6738,10.999887,40.36137,17.214357,0,27.047791,19.848583,7.0012131,164.96165,115.31915,10.91682,23.862217,44.448425,0,18.615791,24.331297,159.01933,5.6876111,126.78933,63.580002,0.41024774,5.9068904,3.7477286,9.1685162,352.96146,475.76636,28.670536,9.4210396,260.25018,44.428406,38.091576,416.28799,2161,42,144
